hidden_layers_n,h1_size,h2_size,h3_size,h4_size,alpha,learning_rate_init,beta_1,beta_2,tol,source,msc,dsp,model_update_time,acquisition_time,query_time
2.0,17.0,17.0,17.0,17.0,-3.4999999533289,-4.0,-1.50218240332379,-1.50218240332379,-3.4999999533289,1.0,0.15080000000000005,0.15800000000000003,0.0,0.0,0.0
4.0,12.0,32.0,23.0,19.0,-4.26692839568158,-3.2678707872174,-0.556008985083248,-0.726499203202071,-2.08903594760836,1.0,0.15060000000000007,0.17179999999999995,0.0,0.0,0.0
2.0,7.0,22.0,23.0,26.0,-1.925030164109,-4.78741364071615,-2.14830234419914,-1.23707958156042,-3.28999149096328,1.0,0.15969999999999995,0.13250000000000006,0.0,0.0,0.0
3.0,28.0,18.0,19.0,13.0,-4.2474454940255,-2.63224176655502,-2.19324272956335,-2.08114984057184,-2.82912260187864,1.0,0.15500000000000003,0.20389999999999997,0.0,0.0,0.0
1.0,18.0,4.0,26.0,16.0,-2.04881008351868,-2.69287344303118,-1.10296669887873,-2.82581733780375,-2.27866265312152,1.0,0.15749999999999997,0.1704,0.0,0.0,0.0
3.0,17.0,2.0,32.0,23.0,-4.2367337845187,-4.34097092212278,-0.166443122646712,-0.432272742583077,-2.14129309488524,1.0,0.21110000000000007,0.12650000000000006,0.0,0.0,0.0
4.0,28.0,6.0,20.0,29.0,-3.49302577487076,-3.6632088044054,-0.0774928733594806,-1.98371058598337,-3.60198700564182,1.0,0.15179999999999993,0.16159999999999997,0.0,0.0,0.0
3.0,10.0,32.0,2.0,7.0,-4.60028012394686,-3.52976385864521,-2.8891781438664,-1.04974158259033,-3.10199768739545,1.0,0.1612,0.15779999999999994,0.0,0.0,0.0
2.0,13.0,29.0,10.0,27.0,-2.71440420606749,-2.33350600284974,-2.75864647740511,-2.01823702031791,-4.11233893159315,1.0,0.15790000000000004,0.15039999999999998,0.0,0.0,0.0
4.0,23.0,16.0,19.0,11.0,-1.04695963815459,-5.67590802962836,-1.44299579503114,-1.7053962752499,-3.16571098968136,1.0,0.22409999999999997,0.05510000000000004,0.0,0.0,0.0
3.0,15.0,18.0,28.0,11.0,-5.94553343773669,-5.57876181847643,-2.27368963132979,-1.17200647059964,-3.17217894702059,1.0,0.22520000000000007,0.03600000000000003,0.0,0.0,0.0
1.0,17.0,16.0,3.0,16.0,-2.85958643609082,-2.54010743967993,-1.41020841881621,-0.798410811945086,-2.26814364170282,2.0,0.15500000000000003,0.17810000000000004,0.0,0.0,0.0
2.0,2.0,15.0,4.0,18.0,-2.4982687526815,-3.95061697769037,-0.638365684879105,-2.69189455141289,-4.09508368301116,2.0,0.1522,0.1582,0.0,0.0,0.0
3.0,7.0,25.0,27.0,32.0,-3.93586751871212,-2.98244238488232,-1.63923330481139,-1.34037023835915,-2.37510361552824,2.0,0.15190000000000003,0.1683,0.0,0.0,0.0
2.0,18.0,20.0,26.0,23.0,-1.00540165101284,-2.24526845122631,-1.42142242532003,-2.64781397128041,-4.78905688047524,2.0,0.15900000000000003,0.17620000000000002,0.0,0.0,0.0
2.0,23.0,29.0,24.0,4.0,-3.5092877929689,-3.83885712862828,-1.80793234662635,-0.258893941292537,-3.2891749553632,2.0,0.14890000000000003,0.14880000000000004,0.0,0.0,0.0
2.0,7.0,7.0,27.0,2.0,-3.80949427206997,-2.66985010776565,-0.0204972701077945,-2.86953701746484,-3.14375103385636,2.0,0.2990999999999999,0.0,0.0,0.0,0.0
2.0,2.0,7.0,23.0,20.0,-2.95084621294906,-2.8143149771899,-0.547047814245566,-2.10916683194276,-4.63743148130013,2.0,0.16189999999999993,0.1593,0.0,0.0,0.0
2.0,14.0,20.0,24.0,16.0,-4.36515988974495,-2.51676158411698,-0.769900274669091,-0.259369005892821,-2.85927508782203,2.0,0.1481,0.13880000000000003,0.0,0.0,0.0
1.0,12.0,20.0,18.0,7.0,-4.1598415310328,-4.52067264990028,-1.55831017721119,-1.8667538988104,-4.19204042565561,2.0,0.15200000000000002,0.14549999999999996,0.0,0.0,0.0
1.0,8.0,21.0,6.0,3.0,-1.19629681522887,-2.55403198570789,-1.29826964633062,-0.552229691963372,-3.62628292544102,2.0,0.15590000000000004,0.20809999999999995,0.0,0.0,0.0
3.0,3.0,10.0,30.0,6.0,-4.08947326193431,-3.86112374383045,-2.47294724415349,-2.19469413717729,-2.44742290004445,2.0,0.15710000000000002,0.17469999999999997,0.0,0.0,0.0
-3.371220588684082,-0.9081850051879883,-1.0509780645370483,7.903314590454102,19.855716705322266,18.32879638671875,24.271291732788086,-3.9845900535583496,2.0787062644958496,-3.862675666809082,1.0,0.1483982801437378,0.18714863061904907,0.15030717849731445,0.3611757755279541,55.50914287567139
-4.773193359375,-0.5990555286407471,-2.47151517868042,18.804170608520508,18.46808433532715,13.183772087097168,18.209938049316406,-4.147751331329346,3.403573989868164,-4.492737770080566,2.0,0.1509181261062622,0.18825280666351318,0.17558550834655762,0.33203744888305664,59.161869764328
-4.444445610046387,-0.9190876483917236,-1.8175724744796753,17.563690185546875,4.102414608001709,3.860774040222168,25.23027229309082,-3.8472306728363037,2.4474844932556152,-2.8647267818450928,1.0,0.15287435054779053,0.19899863004684448,0.174760103225708,0.32872915267944336,16.182791471481323
-4.6357808113098145,-1.8434388637542725,-0.2564113140106201,16.42208480834961,30.433860778808594,11.756362915039062,4.654988765716553,-2.8098366260528564,3.050762176513672,-2.3184778690338135,2.0,0.15337157249450684,0.18557602167129517,0.17734169960021973,0.3303534984588623,6.238971710205078
-4.784031867980957,-0.7777125835418701,-1.786641240119934,28.310020446777344,17.78985023498535,2.669133424758911,27.504714965820312,-5.187486171722412,1.130563497543335,-4.33915901184082,1.0,0.1573500633239746,0.20522767305374146,0.17470645904541016,0.3367781639099121,135.8765149116516
-3.8034207820892334,-2.993497610092163,-1.9169834852218628,2.7468249797821045,30.604040145874023,29.856639862060547,3.279949188232422,-3.0982038974761963,2.9382739067077637,-4.745328903198242,2.0,0.1562231183052063,0.19709742069244385,0.19210529327392578,0.38423871994018555,20.46905517578125
-1.2703113555908203,-0.8307476043701172,-2.8313708305358887,24.942821502685547,31.94016456604004,3.7766387462615967,2.741583824157715,-2.985560655593872,3.153503894805908,-3.5310988426208496,1.0,0.1497575044631958,0.18066692352294922,0.18295001983642578,0.35410213470458984,37.58666944503784
-1.3690752983093262,-0.19289422035217285,-0.8256857395172119,18.12651252746582,5.096761703491211,7.908113479614258,15.320091247558594,-1.0558509826660156,3.89422607421875,-3.1668076515197754,2.0,0.2489224672317505,0.0,0.18632984161376953,0.34373950958251953,5.409777879714966
-3.080235719680786,-2.7215869426727295,-2.520695686340332,28.712547302246094,29.84360122680664,4.419767379760742,4.443028450012207,-2.8423831462860107,1.4899630546569824,-4.675490856170654,1.0,0.1485973596572876,0.17715460062026978,0.18715786933898926,0.33658599853515625,24.12906813621521
