hidden_layers_n,h1_size,h2_size,h3_size,h4_size,alpha,learning_rate_init,beta_1,beta_2,tol,source,msc,dsp,model_update_time,acquisition_time,query_time
2.0,17.0,17.0,17.0,17.0,-3.4999999533289,-4.0,-1.50218240332379,-1.50218240332379,-3.4999999533289,1.0,0.1502,0.1703,0.0,0.0,0.0
4.0,12.0,32.0,23.0,19.0,-4.26692839568158,-3.2678707872174,-0.556008985083248,-0.726499203202071,-2.08903594760836,1.0,0.1493,0.15390000000000004,0.0,0.0,0.0
2.0,7.0,22.0,23.0,26.0,-1.925030164109,-4.78741364071615,-2.14830234419914,-1.23707958156042,-3.28999149096328,1.0,0.15870000000000006,0.12780000000000002,0.0,0.0,0.0
3.0,28.0,18.0,19.0,13.0,-4.2474454940255,-2.63224176655502,-2.19324272956335,-2.08114984057184,-2.82912260187864,1.0,0.15480000000000005,0.2116,0.0,0.0,0.0
1.0,18.0,4.0,26.0,16.0,-2.04881008351868,-2.69287344303118,-1.10296669887873,-2.82581733780375,-2.27866265312152,1.0,0.15490000000000004,0.18879999999999997,0.0,0.0,0.0
3.0,17.0,2.0,32.0,23.0,-4.2367337845187,-4.34097092212278,-0.166443122646712,-0.432272742583077,-2.14129309488524,1.0,0.1865,0.14549999999999996,0.0,0.0,0.0
4.0,28.0,6.0,20.0,29.0,-3.49302577487076,-3.6632088044054,-0.0774928733594806,-1.98371058598337,-3.60198700564182,1.0,0.1501,0.15790000000000004,0.0,0.0,0.0
3.0,10.0,32.0,2.0,7.0,-4.60028012394686,-3.52976385864521,-2.8891781438664,-1.04974158259033,-3.10199768739545,1.0,0.1563,0.1886,0.0,0.0,0.0
2.0,13.0,29.0,10.0,27.0,-2.71440420606749,-2.33350600284974,-2.75864647740511,-2.01823702031791,-4.11233893159315,1.0,0.15459999999999996,0.18520000000000003,0.0,0.0,0.0
4.0,23.0,16.0,19.0,11.0,-1.04695963815459,-5.67590802962836,-1.44299579503114,-1.7053962752499,-3.16571098968136,1.0,0.23260000000000003,0.033399999999999985,0.0,0.0,0.0
3.0,15.0,18.0,28.0,11.0,-5.94553343773669,-5.57876181847643,-2.27368963132979,-1.17200647059964,-3.17217894702059,1.0,0.21189999999999998,0.062000000000000055,0.0,0.0,0.0
1.0,17.0,16.0,3.0,16.0,-2.85958643609082,-2.54010743967993,-1.41020841881621,-0.798410811945086,-2.26814364170282,2.0,0.15600000000000003,0.2208,0.0,0.0,0.0
2.0,2.0,15.0,4.0,18.0,-2.4982687526815,-3.95061697769037,-0.638365684879105,-2.69189455141289,-4.09508368301116,2.0,0.15090000000000003,0.1632,0.0,0.0,0.0
3.0,7.0,25.0,27.0,32.0,-3.93586751871212,-2.98244238488232,-1.63923330481139,-1.34037023835915,-2.37510361552824,2.0,0.1503,0.18510000000000004,0.0,0.0,0.0
2.0,18.0,20.0,26.0,23.0,-1.00540165101284,-2.24526845122631,-1.42142242532003,-2.64781397128041,-4.78905688047524,2.0,0.1603,0.17399999999999993,0.0,0.0,0.0
2.0,23.0,29.0,24.0,4.0,-3.5092877929689,-3.83885712862828,-1.80793234662635,-0.258893941292537,-3.2891749553632,2.0,0.14969999999999994,0.1602,0.0,0.0,0.0
2.0,7.0,7.0,27.0,2.0,-3.80949427206997,-2.66985010776565,-0.0204972701077945,-2.86953701746484,-3.14375103385636,2.0,0.2489,0.0,0.0,0.0,0.0
2.0,2.0,7.0,23.0,20.0,-2.95084621294906,-2.8143149771899,-0.547047814245566,-2.10916683194276,-4.63743148130013,2.0,0.15359999999999996,0.19069999999999998,0.0,0.0,0.0
2.0,14.0,20.0,24.0,16.0,-4.36515988974495,-2.51676158411698,-0.769900274669091,-0.259369005892821,-2.85927508782203,2.0,0.14959999999999996,0.18799999999999994,0.0,0.0,0.0
1.0,12.0,20.0,18.0,7.0,-4.1598415310328,-4.52067264990028,-1.55831017721119,-1.8667538988104,-4.19204042565561,2.0,0.15200000000000002,0.1511,0.0,0.0,0.0
1.0,8.0,21.0,6.0,3.0,-1.19629681522887,-2.55403198570789,-1.29826964633062,-0.552229691963372,-3.62628292544102,2.0,0.1533,0.18830000000000002,0.0,0.0,0.0
3.0,3.0,10.0,30.0,6.0,-4.08947326193431,-3.86112374383045,-2.47294724415349,-2.19469413717729,-2.44742290004445,2.0,0.15769999999999995,0.1481,0.0,0.0,0.0
-4.423522472381592,-1.8734923601150513,-0.9446043968200684,14.372267723083496,19.252796173095703,7.70339298248291,26.453819274902344,-2.1219491958618164,1.867682695388794,-2.7888360023498535,2.0,0.1527079939842224,0.19229727983474731,2.9034645557403564,9.399574518203735,12.925487279891968
-4.1928391456604,-1.8932546377182007,-2.8036699295043945,14.059197425842285,26.304349899291992,25.518861770629883,24.676109313964844,-5.222396373748779,2.495102882385254,-4.562073707580566,1.0,0.18659234046936035,0.08997982740402222,0.34815120697021484,0.7871301174163818,135.20603442192078
-5.429625034332275,-2.3568241596221924,-2.593554735183716,5.978426933288574,30.18617820739746,12.587108612060547,13.884150505065918,-2.3021488189697266,1.2014611959457397,-3.363459587097168,2.0,0.15330511331558228,0.19069641828536987,0.20164847373962402,0.43277716636657715,7.374579668045044
-4.0093207359313965,-0.927886962890625,-0.7592518329620361,7.554938793182373,17.882667541503906,23.81259536743164,12.309636116027832,-1.740187644958496,3.746727466583252,-4.240836143493652,2.0,0.16146183013916016,0.21016788482666016,0.4561758041381836,1.3056395053863525,14.251304149627686
