,Info_source,queried_configs_x_activation,queried_configs_x_alpha,queried_configs_x_learning_rate,queried_configs_x_n_layers,queried_configs_x_n_neurons_layer1,queried_configs_x_solver,queried_configs_x_n_neurons_layer2,queried_configs_x_n_neurons_layer3,queried_configs_x_n_neurons_layer4,queried_configs_y_mce,queried_configs_y_DSP,c_s,data_split_seed
65,1,relu,0.45699357426154696,constant,3,4,sgd,23.0,32.0,,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
66,1,relu,0.44228185944743303,adaptive,4,2,adam,2.0,24.0,32.0,0.18061907618971035,0.16323228574821141,0.5,981505798.0
67,1,tanh,0.03496082141590754,constant,4,3,adam,31.0,2.0,30.0,0.15666542271375544,0.18832566616272745,0.5,981505798.0
68,1,logistic,0.34524897484240963,constant,4,31,sgd,9.0,27.0,21.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
69,1,relu,0.24816549426359763,constant,3,2,adam,30.0,3.0,,0.755221578253229,0.0,0.5,981505798.0
70,1,relu,0.34362053093229433,constant,2,2,adam,30.0,,,0.24486130612306614,0.00012406947891135944,0.5,981505798.0
71,1,relu,0.24380718914812233,constant,3,4,adam,25.0,5.0,,0.16105994409771834,0.17666030685833128,0.5,981505798.0
72,1,relu,0.16437140462685448,adaptive,4,2,adam,30.0,2.0,3.0,0.1924710609131439,0.11439351657192516,0.5,981505798.0
73,1,relu,2.266471144549607e-05,constant,4,2,sgd,32.0,32.0,30.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
74,1,tanh,0.42519812011479385,constant,4,22,adam,6.0,2.0,30.0,0.1528527414041823,0.1898294631606787,0.5,981505798.0
75,1,logistic,0.0002586298645411767,constant,2,2,adam,32.0,,,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
76,1,tanh,0.24418016977993093,constant,4,5,sgd,31.0,2.0,9.0,0.16644687874345637,0.1929110023488571,0.5,981505798.0
77,1,logistic,0.4443778563391371,constant,4,3,adam,27.0,2.0,32.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
78,1,relu,0.0011004177746478405,constant,4,31,sgd,30.0,2.0,31.0,0.24486130612306614,0.00025641025641282564,0.5,981505798.0
79,1,tanh,0.23618376517938755,constant,4,2,sgd,5.0,3.0,32.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
80,1,logistic,0.4862706014950968,constant,3,32,sgd,27.0,17.0,,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
81,1,logistic,0.2046366084074446,constant,4,3,adam,32.0,2.0,2.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
82,1,tanh,0.08826355904110353,adaptive,4,2,adam,3.0,31.0,29.0,0.16022965707448392,0.1898243437554313,0.5,981505798.0
83,1,logistic,0.25904474754230217,constant,4,28,adam,31.0,29.0,32.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
84,1,relu,0.414282491712239,adaptive,4,29,sgd,32.0,3.0,18.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
85,1,tanh,0.0013393904570878207,constant,3,32,sgd,29.0,30.0,,0.17821707871747766,0.21714748202358541,0.5,981505798.0
86,1,tanh,0.1709536473768138,adaptive,3,30,sgd,2.0,31.0,,0.17175141009966052,0.23135801458753819,0.5,981505798.0
87,1,tanh,0.47755696687539534,constant,4,3,sgd,23.0,28.0,26.0,0.17349280672201914,0.19370646100056677,0.5,981505798.0
88,1,relu,4.164074663924751e-05,constant,4,29,adam,2.0,26.0,28.0,0.15326651038219594,0.1926607408399203,0.5,981505798.0
89,1,logistic,0.3545761209691044,adaptive,2,3,sgd,31.0,,,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
90,1,logistic,0.4437541552758306,constant,3,2,sgd,2.0,31.0,,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
91,1,logistic,0.004866907648648305,constant,4,2,sgd,2.0,4.0,29.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
92,1,logistic,0.3907811462553827,adaptive,2,31,adam,20.0,,,0.16188689787696414,0.19002916473964415,0.5,981505798.0
93,1,logistic,0.4349391282018232,adaptive,4,5,sgd,5.0,2.0,32.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
94,1,logistic,1.1022069193623579e-05,adaptive,4,32,sgd,2.0,26.0,31.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
95,1,logistic,6.784245806653554e-05,adaptive,4,19,sgd,32.0,10.0,30.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
96,1,logistic,0.4986396256313334,constant,2,4,sgd,14.0,,,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
97,1,relu,0.009074068096488332,adaptive,4,4,sgd,2.0,32.0,10.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
98,1,logistic,0.08766895949236739,constant,4,2,sgd,5.0,29.0,29.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
99,1,logistic,0.49483973824486965,constant,3,23,adam,27.0,27.0,,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
100,1,relu,0.3952690572524097,constant,4,15,adam,15.0,11.0,5.0,0.15343265713152704,0.18717578159233814,0.5,981505798.0
101,1,relu,0.4453184205393466,adaptive,4,8,sgd,3.0,18.0,11.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
102,1,logistic,1.8566844098235446e-05,constant,4,29,sgd,29.0,2.0,8.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
103,1,logistic,0.14531153652697215,constant,4,28,sgd,29.0,6.0,32.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
104,1,logistic,0.4817407746555779,constant,4,3,sgd,4.0,31.0,27.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
105,1,relu,0.49196214465285626,adaptive,4,32,sgd,9.0,24.0,23.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
106,1,logistic,3.15324284840209e-05,constant,1,2,sgd,,,,0.24171169982385354,0.013688942409465738,0.5,981505798.0
107,1,logistic,0.004349243609200386,constant,4,2,sgd,2.0,2.0,3.0,0.24477842174677106,3.563815909046753e-15,0.5,981505798.0
108,AGPs,tanh,2.9644695427095595e-05,adaptive,4,28,adam,8.0,18.0,8.0,0.15255536826644964,0.1744060411502773,,
109,AGPs,tanh,8.047384418658377e-05,adaptive,1,3,adam,,,,0.15562230491573065,0.1822630232342802,,
110,AGPs,logistic,3.090387782782081e-05,adaptive,4,15,sgd,5.0,7.0,19.0,0.24945149868265376,3.0031532816110485e-15,,
111,AGPs,logistic,0.0013156217906577974,constant,3,4,adam,4.0,29.0,,0.24945149868265376,3.0031532816110485e-15,,
112,AGPs,tanh,1.5939256294925737e-05,adaptive,3,8,sgd,9.0,8.0,,0.15682409401579095,0.2079054122123793,,
113,AGPs,tanh,1.3829175347342612e-05,adaptive,4,11,adam,24.0,20.0,2.0,0.1527212572658033,0.2036076373086873,,
114,AGPs,tanh,0.011075449485910632,adaptive,4,26,adam,11.0,2.0,2.0,0.15396439407441126,0.2022591190399552,,
115,AGPs,tanh,0.00012142669900322176,adaptive,3,3,adam,22.0,19.0,,0.1533014478998688,0.1892607468979714,,
116,AGPs,tanh,0.00036905390589197454,adaptive,4,2,adam,16.0,22.0,2.0,0.15516636354461694,0.18252169210110764,,
117,AGPs,tanh,0.0002672898084291385,adaptive,3,23,adam,12.0,16.0,,0.1538815268762253,0.19682440544677507,,
118,AGPs,tanh,0.009617330416029406,adaptive,3,7,adam,19.0,17.0,,0.1542131416828964,0.18224717103146615,,
119,AGPs,tanh,0.0004985153166158339,adaptive,2,32,adam,4.0,,,0.1497374712535081,0.1857402311674869,,
